id,algorithm,interswap,seed,model,p,num_modes,theta,rho,bf,filename,t1,tf,num_temp,gibbs_step,tot_sim,burn_in,iterations,total_swap,direction,comments,Servers comments,count swaps,comments,other comments
162,PT_A_IIT,300,162,multimodal,10000,7,0.001,-3,sq,,3772,,4,,4,10000,,300,-1,Sim 151,Runing in Fir Job Id 6266933,,,
163,PT_IIT_Z,100,163,multimodal,10000,7,0.001,-3,sq,,3576,,4,,4,2000,13000,,-1,Sim 152,Runing in Fir Job Id 6266933,,,
164,PT_A_IIT,300,164,multimodal,10000,7,0.001,-3,min,,3711,,4,,4,10000,,300,-1,Sim 153,Runing in Fir Job Id 6266933,,,
165,PT_IIT_Z,100,165,multimodal,10000,7,0.001,-3,min,,3520,,4,,4,2000,13000,,-1,Sim 154,Runing in Fir Job Id 6266933,,,
167,PT_A_IIT,300,167,gset,,,,4.5,sq,G1,1,10000,3,,4,10000,,300,1,,Running in Nibi Job Id 2639107,,,
168,PT_IIT_Z,100,168,gset,,,,4.5,sq,G1,1,10000,3,,4,2000,13000,,1,,Running in Nibi Job Id 2639109,,,
169,PT_A_IIT,300,169,gset,,,,4.5,sq,G1,1,10000,3,,4,10000,,300,1,,Running in Nibi Job Id 2639107,,,
170,PT_IIT_Z,100,170,gset,,,,4.5,sq,G1,1,10000,3,,4,2000,13000,,1,,Running in Nibi Job Id 2639109,,,
171,PT_A_IIT,300,171,multimodal,1000,7,0.001,-3,sq,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694907,,,
172,PT_IIT_Z,100,172,multimodal,1000,7,0.001,-3,sq,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694907,,,
173,PT_A_IIT,300,173,multimodal,1000,7,0.001,-3,min,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694907,,,
174,PT_IIT_Z,100,174,multimodal,1000,7,0.001,-3,min,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694907,,,
175,PT_A_IIT,300,175,multimodal,3000,7,0.001,-3,sq,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694908,,,
176,PT_IIT_Z,100,176,multimodal,3000,7,0.001,-3,sq,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694908,,,
177,PT_A_IIT,300,177,multimodal,3000,7,0.001,-3,min,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694908,,,
178,PT_IIT_Z,100,178,multimodal,3000,7,0.001,-3,min,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694908,,,
179,PT_A_IIT,300,179,multimodal,5000,7,0.001,-3,sq,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694909,,,
180,PT_IIT_Z,100,180,multimodal,5000,7,0.001,-3,sq,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694909,,,
181,PT_A_IIT,300,181,multimodal,5000,7,0.001,-3,min,,20000,5000,4,,4,10000,,300,-1,,Running in Nibi Job Id 2694909,,,
182,PT_IIT_Z,100,182,multimodal,5000,7,0.001,-3,min,,20000,5000,4,,4,2000,13000,,-1,,Running in Nibi Job Id 2694909,,,
183,PT_A_IIT,300,183,gset,,,,3.5,sq,G1,1,10000,2,,4,10000,,300,1,,Running in Probability,,,
184,PT_A_IIT,300,184,gset,,,,3,sq,G1,95,10000,2,,4,10000,,300,1,,Running in Nibi Job Id 2825569,,,
185,PT_IIT_Z,100,185,gset,,,,3,sq,G1,470,10000,2,,4,2000,13000,,1,,Running in Nibi Job Id 2825569,,,
186,PT_A_IIT,300,186,gset,,,,3,min,G1,1,10000,2,,4,10000,,300,1,,Running in Nibi Job Id 2825569,,,
187,PT_IIT_Z,100,187,gset,,,,3,min,G1,1,10000,2,,4,2000,13000,,1,,Running in Nibi Job Id 2825569,,,
